X,Teens,area,total_people,Twenties,B34,P10,P20,P34,place
서울,"185,460",39.06435951,9765623,323732,220701,284853,1449790,3139144,43
부산,"68,909",41.59689483,3441453,"85,500",56233,99395,444737,981758,13
대구경북,"78,570",28.41262494,5138600,"94,578",60614,165919,630970,1441363,11
인천,"46,763",29.4651746,2954642,"54,043",45996,95224,409794,928392,7
울산,"32,222",48.49278372,1155623,"26,173",22935,39868,153359,360633,6
경기,"48,114",6.495229893,13077153,"73,879",67864,444455,1749054,4240802,11
강원,"38,665",45.96847061,1543052,"86,781",29776,50467,182891,409574,7
충북,"30,199",34.46862908,1599252,"38,207",21058,52568,200941,454191,5
대전세종충남,"85,115",38.93196112,3930344,"97,890",54742,131175,496429,1195920,8
전북,"40,310",37.89922998,1836832,"40,146",23689,63817,217554,489025,9
광주전남,"76,732",74.42049929,3342306,"71,423",49265,61864,412560,923200,9
경남,"51,265",27.3107453,3373988,"44,156",33232,112626,394180,933639,5
제주,"12,323",31.45468004,667191,"9,815",10159,23506,81714,201089,3
