X,Jan,Feb,Mar,Apr,May,June,July,Aug,Set,Oct,Nov,Dec,place,T,N3040
중앙,"24,809","21,466","24,965","21,216","23,482","20,849","23,081","21,418","20,296","20,955","23,259","20,781",16,3,3
서울남부,"20,334","17,261","21,216","20,239","19,471","18,164","20,203","17,416","17,833","19,437","20,476","18,449",12,2,3
서울동부,"25,139","22,500","25,353","21,542","24,629","22,300","23,962","21,621","21,509","22,563","24,918","23,009",15,3,3
부산,"15,949","15,671","21,675","17,887","20,888","18,776","19,451","18,240","17,877","17,962","21,033","18,188",13,2,2
대구경북,"18,898","16,506","21,305","20,156","22,584","19,483","19,644","20,555","19,282","21,678","24,693","21,371",11,3,2
인천,"13,928","11,781","14,375","12,750","13,403","11,655","13,851","12,445","12,560","13,163","14,424","12,982",7,3,2
울산,"6,661","5,613","7,364","7,548","8,683","6,884","6,999","7,085","7,368","7,414","8,140","6,952",6,1,1
경기,"17,904","14,941","17,943","16,761","17,573","15,719","17,484","16,300","15,584","17,545","18,842","17,316",11,2,3
강원,"12,944","12,004","14,366","13,860","13,976","13,191","13,912","13,695","12,521","13,534","14,573","12,783",7,2,1
충북,"7,461","6,774","8,731","8,274","8,717","7,167","8,235","7,824","7,175","7,792","8,682","6,976",5,1,1
대전세종충남,"18,643","16,531","21,392","20,145","24,166","19,737","20,464","20,088","20,029","21,886","24,434","20,808",8,3,2
전북,"8,122","7,782","9,234","9,255","9,883","8,373","9,018","8,825","9,303","10,027","10,046","8,714",9,1,1
광주전남,"15,917","13,544","18,633","17,624","22,238","16,273","17,883","15,443","18,067","17,016","18,924","15,181",9,2,2
경남,"11,562","8,659","11,766","11,140","13,023","10,406","11,684","11,310","10,631","10,975","13,126","10,437",5,2,1
제주,"2,795","2,147","3,044","2,922","3,401","2,569","2,878","2,824","2,769","2,692","3,333","2,890",3,3,1
